server_id,hostname,operating_system,environment,server_type,location,owner_team,created_date,compliance_id,splunk_status,qualys_status,crowdstrike_status,firewall_status,patch_status,password_policy,compliance_score,compliance_status,performance_id,cpu_usage,memory_usage,disk_usage,uptime_days,vulnerability_id,critical_count,high_count,medium_count,low_count,risk_level,last_scan_date,incident_id,incident_category,priority,status,assigned_team,resolution_hours,incident_date,total_vulnerabilities,vulnerability_risk_score,compliance_failure_count,performance_risk_count,incident_severity_score,resolution_delay_risk,server_risk_score
1408,API205,Windows Server 2019,Production,API Server,Mumbai,Infrastructure Team,2026-07-25,1408,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1408,75,44,47,122,1408,2,1,9,6,Medium,2026-07-25,1408,CPU Utilization High,P3,Closed,Infrastructure Team,19,2025-11-26,18,35,0,0,2,0,45
1409,MAIL215,Windows Server 2022,UAT,Mail Server,Mumbai,Messaging Team,2026-07-25,1409,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1409,30,47,64,244,1409,2,1,10,9,Medium,2026-07-25,1409,Firewall Disabled,P2,Resolved,Messaging Team,8,2026-02-13,22,40,0,0,3,0,55
1410,MAIL216,RHEL 9,Testing,Mail Server,Pune,Messaging Team,2026-07-25,1410,Stopped,Stopped,Running,Enabled,Updated,Compliant,60,Non-Compliant,1410,26,61,47,627,1410,0,1,8,7,Medium,2026-07-25,1410,Server Down,P2,In Progress,Messaging Team,5,2025-11-22,16,26,2,1,3,0,66
1411,FILE206,RHEL 8,UAT,File Server,Bangalore,Windows Team,2026-07-25,1411,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning,1411,16,44,85,33,1411,0,0,3,6,Low,2026-07-25,1411,Patch Failure,P2,Resolved,Windows Team,6,2025-09-01,9,12,1,0,3,0,37
1412,API206,Ubuntu 22.04,Development,API Server,Chennai,Infrastructure Team,2026-07-25,1412,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1412,76,68,33,512,1412,0,4,5,15,Low,2026-07-25,1412,Splunk Agent Down,P1,Open,Infrastructure Team,4,2025-12-13,24,37,0,0,4,0,57
1413,DB190,Windows Server 2019,Production,Database Server,Chennai,Database Team,2026-07-25,1413,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning,1413,66,80,77,244,1413,2,2,15,22,Medium,2026-07-25,1413,Firewall Disabled,P4,Resolved,Database Team,27,2026-03-07,41,66,1,0,1,1,86
1414,MAIL217,RHEL 9,Production,Mail Server,Chennai,Messaging Team,2026-07-25,1414,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1414,25,43,53,58,1414,0,3,8,11,Medium,2026-07-25,1414,CPU Utilization High,P4,Closed,Messaging Team,36,2025-10-11,22,36,0,0,1,1,46
1415,DB191,Ubuntu 22.04,Production,Database Server,Bangalore,Database Team,2026-07-25,1415,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1415,69,83,95,557,1415,1,5,10,30,High,2026-07-25,1415,Application Not Responding,P4,Resolved,Database Team,9,2025-11-06,46,69,0,2,1,0,84
1416,FILE207,Windows Server 2022,Production,File Server,Pune,Windows Team,2026-07-25,1416,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1416,12,50,95,346,1416,0,1,3,8,Low,2026-07-25,1416,CrowdStrike Offline,P2,Resolved,Windows Team,7,2025-09-01,12,17,0,1,3,0,37
1417,API207,Ubuntu 22.04,UAT,API Server,Pune,Infrastructure Team,2026-07-25,1417,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1417,66,46,34,407,1417,2,4,8,13,Medium,2026-07-25,1417,Memory Utilization High,P2,Open,Infrastructure Team,6,2026-07-23,27,49,0,0,3,0,64
1418,API208,RHEL 8,Development,API Server,Chennai,Infrastructure Team,2026-07-25,1418,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1418,65,71,32,691,1418,2,2,5,5,Low,2026-07-25,1418,Server Down,P4,Open,Infrastructure Team,52,2025-11-06,14,29,0,1,1,1,44
1419,WEB201,Windows Server 2019,Testing,Web Server,Chennai,Linux Team,2026-07-25,1419,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1419,26,61,29,37,1419,2,1,8,20,Medium,2026-07-25,1419,Memory Utilization High,P3,Open,Linux Team,7,2026-03-21,31,47,0,0,2,0,57
1420,WEB202,Windows Server 2019,Production,Web Server,Mumbai,Linux Team,2026-07-25,1420,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1420,45,58,42,450,1420,1,3,9,10,Medium,2026-07-25,1420,Disk Space Full,P3,Open,Linux Team,12,2025-10-17,23,41,0,0,2,0,51
1421,API209,RHEL 9,Production,API Server,Chennai,Infrastructure Team,2026-07-25,1421,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1421,48,47,59,660,1421,0,1,9,8,Medium,2026-07-25,1421,Firewall Disabled,P4,Open,Infrastructure Team,20,2025-11-15,18,29,0,1,1,0,39
1422,MAIL218,RHEL 9,UAT,Mail Server,Chennai,Messaging Team,2026-07-25,1422,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1422,41,65,41,33,1422,1,4,4,5,Low,2026-07-25,1422,Memory Utilization High,P3,Closed,Messaging Team,8,2026-04-17,14,29,0,0,2,0,39
1423,WEB203,Ubuntu 22.04,Development,Web Server,Hyderabad,Linux Team,2026-07-25,1423,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1423,31,43,44,128,1423,3,4,10,6,Critical,2026-07-25,1423,CPU Utilization High,P4,Closed,Linux Team,36,2025-10-08,23,50,0,0,1,1,60
1424,AUTH207,Ubuntu 22.04,UAT,Authentication Server,Pune,Security Team,2026-07-25,1424,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1424,32,53,38,138,1424,2,2,5,8,Low,2026-07-25,1424,CPU Utilization High,P4,Resolved,Security Team,61,2026-06-29,17,32,0,0,1,1,42
1425,DB192,RHEL 8,Development,Database Server,Mumbai,Database Team,2026-07-25,1425,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1425,89,83,84,433,1425,5,7,15,12,Critical,2026-07-25,1425,Server Down,P3,Open,Database Team,6,2025-11-27,39,83,0,2,2,0,103
1426,APP190,RHEL 8,UAT,Application Server,Bangalore,Infrastructure Team,2026-07-25,1426,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning,1426,67,62,40,347,1426,0,1,7,8,Low,2026-07-25,1426,CPU Utilization High,P3,Closed,Infrastructure Team,22,2026-05-08,16,25,1,0,2,0,45
1427,DB193,RHEL 9,UAT,Database Server,Pune,Database Team,2026-07-25,1427,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning,1427,64,72,93,601,1427,3,9,15,25,Critical,2026-07-25,1427,CrowdStrike Offline,P3,Closed,Database Team,4,2025-07-30,52,94,1,2,2,0,124
1428,DB194,RHEL 8,UAT,Database Server,Chennai,Database Team,2026-07-25,1428,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1428,62,70,71,145,1428,3,8,11,17,Critical,2026-07-25,1428,Server Down,P3,Closed,Database Team,13,2025-09-29,39,75,0,0,2,0,85
1429,AUTH208,Windows Server 2022,Production,Authentication Server,Mumbai,Security Team,2026-07-25,1429,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1429,38,51,27,202,1429,1,2,4,8,Low,2026-07-25,1429,Memory Utilization High,P3,Resolved,Security Team,16,2026-03-15,15,26,0,0,2,0,36
1430,AUTH209,Ubuntu 22.04,Testing,Authentication Server,Bangalore,Security Team,2026-07-25,1430,Running,Stopped,Running,Enabled,Outdated,Compliant,65,Non-Compliant,1430,38,44,26,682,1430,2,2,6,4,Low,2026-07-25,1430,Firewall Disabled,P3,Closed,Security Team,11,2026-07-01,14,30,2,1,2,0,65
1431,DB195,Windows Server 2022,UAT,Database Server,Bangalore,Database Team,2026-07-25,1431,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1431,79,71,90,602,1431,5,7,6,13,Critical,2026-07-25,1431,Qualys Agent Missing,P1,Closed,Database Team,3,2025-09-01,31,66,0,2,4,0,96
1432,APP191,Windows Server 2019,UAT,Application Server,Hyderabad,Infrastructure Team,2026-07-25,1432,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1432,43,64,50,213,1432,2,1,12,13,Medium,2026-07-25,1432,CrowdStrike Offline,P4,Resolved,Infrastructure Team,35,2026-06-03,28,48,0,0,1,1,58
1433,AUTH210,RHEL 9,Testing,Authentication Server,Mumbai,Security Team,2026-07-25,1433,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning,1433,46,50,50,467,1433,2,4,5,11,Low,2026-07-25,1433,Application Not Responding,P3,Resolved,Security Team,16,2025-11-07,22,41,1,0,2,0,61
1434,APP192,Windows Server 2022,Development,Application Server,Hyderabad,Infrastructure Team,2026-07-25,1434,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1434,69,73,58,589,1434,2,1,6,15,Low,2026-07-25,1434,CPU Utilization High,P3,Resolved,Infrastructure Team,7,2025-11-20,24,38,0,0,2,0,48
1435,MAIL219,RHEL 8,Production,Mail Server,Hyderabad,Messaging Team,2026-07-25,1435,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1435,54,41,32,654,1435,1,3,7,12,Low,2026-07-25,1435,Disk Space Full,P2,Closed,Messaging Team,7,2025-12-26,23,39,0,1,3,0,59
1436,APP193,Windows Server 2022,Production,Application Server,Chennai,Infrastructure Team,2026-07-25,1436,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning,1436,43,81,61,529,1436,2,4,12,18,Medium,2026-07-25,1436,CPU Utilization High,P4,Closed,Infrastructure Team,28,2025-08-15,36,62,1,1,1,1,87
1437,APP194,Ubuntu 22.04,Testing,Application Server,Hyderabad,Infrastructure Team,2026-07-25,1437,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1437,74,66,47,221,1437,0,4,12,12,Medium,2026-07-25,1437,Patch Failure,P4,Closed,Infrastructure Team,68,2026-02-22,28,48,0,0,1,1,58
1438,MAIL220,RHEL 8,Testing,Mail Server,Mumbai,Messaging Team,2026-07-25,1438,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1438,55,61,34,554,1438,0,1,4,13,Low,2026-07-25,1438,Firewall Disabled,P4,Closed,Messaging Team,50,2025-08-15,18,24,0,0,1,1,34
1439,APP195,Ubuntu 22.04,Production,Application Server,Mumbai,Infrastructure Team,2026-07-25,1439,Running,Running,Stopped,Enabled,Updated,Compliant,80,Warning,1439,76,76,68,164,1439,0,3,10,8,Medium,2026-07-25,1439,Qualys Agent Missing,P4,Closed,Infrastructure Team,70,2025-09-16,21,37,1,0,1,1,57
1440,API210,RHEL 9,Development,API Server,Chennai,Infrastructure Team,2026-07-25,1440,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1440,73,68,56,605,1440,1,3,4,15,Low,2026-07-25,1440,Firewall Disabled,P4,Closed,Infrastructure Team,47,2025-09-28,23,36,0,1,1,1,51
1441,AUTH211,Windows Server 2022,Production,Authentication Server,Hyderabad,Security Team,2026-07-25,1441,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1441,56,67,53,151,1441,0,4,8,7,Medium,2026-07-25,1441,Qualys Agent Missing,P3,In Progress,Security Team,22,2026-05-23,19,35,0,0,2,0,45
1442,WEB204,RHEL 9,Testing,Web Server,Mumbai,Linux Team,2026-07-25,1442,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1442,44,49,21,578,1442,1,2,13,12,Medium,2026-07-25,1442,CPU Utilization High,P4,Closed,Linux Team,29,2025-12-25,28,48,0,0,1,1,58
1443,WEB205,Windows Server 2019,Development,Web Server,Chennai,Linux Team,2026-07-25,1443,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1443,27,32,58,293,1443,3,1,6,8,Critical,2026-07-25,1443,Server Down,P3,Open,Linux Team,19,2025-12-22,18,35,0,0,2,0,45
1444,MAIL221,RHEL 9,Testing,Mail Server,Chennai,Messaging Team,2026-07-25,1444,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1444,37,42,36,553,1444,1,2,7,12,Low,2026-07-25,1444,Disk Space Full,P2,Resolved,Messaging Team,4,2026-03-14,22,36,0,0,3,0,51
1445,MAIL222,Windows Server 2022,Development,Mail Server,Pune,Messaging Team,2026-07-25,1445,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1445,43,64,53,682,1445,0,2,7,11,Low,2026-07-25,1445,Splunk Agent Down,P3,Resolved,Messaging Team,10,2025-09-25,20,31,0,1,2,0,46
1446,APP196,Ubuntu 22.04,UAT,Application Server,Hyderabad,Infrastructure Team,2026-07-25,1446,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning,1446,69,79,73,687,1446,0,5,5,14,High,2026-07-25,1446,Application Not Responding,P4,Closed,Infrastructure Team,46,2026-02-26,24,39,1,1,1,1,64
1447,DB196,Ubuntu 22.04,Development,Database Server,Hyderabad,Database Team,2026-07-25,1447,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning,1447,75,90,79,214,1447,1,7,9,17,High,2026-07-25,1447,Disk Space Full,P4,Closed,Database Team,63,2025-08-07,34,60,1,1,1,1,85
1448,MAIL223,Windows Server 2019,Development,Mail Server,Mumbai,Messaging Team,2026-07-25,1448,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1448,50,43,56,569,1448,0,3,9,10,Medium,2026-07-25,1448,Server Down,P3,Resolved,Messaging Team,9,2026-01-12,22,37,0,0,2,0,47
1449,FILE208,RHEL 8,Testing,File Server,Hyderabad,Windows Team,2026-07-25,1449,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1449,25,42,78,89,1449,0,1,6,8,Low,2026-07-25,1449,Firewall Disabled,P3,Open,Windows Team,10,2025-09-16,15,23,0,0,2,0,33
1450,MAIL224,Windows Server 2022,UAT,Mail Server,Bangalore,Messaging Team,2026-07-25,1450,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning,1450,41,60,42,260,1450,1,1,9,5,Medium,2026-07-25,1450,CPU Utilization High,P1,Resolved,Messaging Team,1,2025-08-16,16,30,1,0,4,0,60
1451,DB197,RHEL 9,UAT,Database Server,Bangalore,Database Team,2026-07-25,1451,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1451,70,72,86,630,1451,5,3,16,27,Critical,2026-07-25,1451,CrowdStrike Offline,P4,Closed,Database Team,20,2026-04-13,51,88,0,2,1,0,103
1452,APP197,Windows Server 2019,Production,Application Server,Chennai,Infrastructure Team,2026-07-25,1452,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1452,43,70,42,511,1452,2,2,8,9,Medium,2026-07-25,1452,Application Not Responding,P4,Closed,Infrastructure Team,64,2025-11-25,21,39,0,0,1,1,49
1453,WEB206,RHEL 9,UAT,Web Server,Bangalore,Linux Team,2026-07-25,1453,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1453,34,40,57,623,1453,0,2,14,10,Medium,2026-07-25,1453,CPU Utilization High,P4,Resolved,Linux Team,30,2025-09-24,26,44,0,1,1,1,59
1454,WEB207,RHEL 9,Production,Web Server,Bangalore,Linux Team,2026-07-25,1454,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1454,27,54,44,75,1454,3,4,5,18,Critical,2026-07-25,1454,Firewall Disabled,P4,Resolved,Linux Team,47,2025-08-25,30,52,0,0,1,1,62
1455,WEB208,RHEL 8,Development,Web Server,Pune,Linux Team,2026-07-25,1455,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1455,52,38,44,162,1455,1,5,4,6,High,2026-07-25,1455,CrowdStrike Offline,P4,Resolved,Linux Team,55,2025-12-12,16,33,0,0,1,1,43
1456,MAIL225,Ubuntu 22.04,Development,Mail Server,Chennai,Messaging Team,2026-07-25,1456,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1456,47,69,44,294,1456,2,1,10,10,Medium,2026-07-25,1456,CPU Utilization High,P3,Closed,Messaging Team,18,2025-10-06,23,41,0,0,2,0,51
1457,WEB209,RHEL 8,UAT,Web Server,Bangalore,Linux Team,2026-07-25,1457,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1457,41,49,45,688,1457,2,3,7,17,Low,2026-07-25,1457,Splunk Agent Down,P2,Resolved,Linux Team,8,2026-02-08,29,48,0,1,3,0,68
1458,DB198,RHEL 8,Testing,Database Server,Hyderabad,Database Team,2026-07-25,1458,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1458,69,82,66,562,1458,2,6,12,15,High,2026-07-25,1458,Firewall Disabled,P3,Resolved,Database Team,4,2025-12-25,35,65,0,1,2,0,80
1459,API211,RHEL 9,UAT,API Server,Bangalore,Infrastructure Team,2026-07-25,1459,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1459,59,49,48,158,1459,2,4,3,9,Low,2026-07-25,1459,CPU Utilization High,P3,Resolved,Infrastructure Team,20,2025-11-16,18,35,0,0,2,0,45
1460,WEB210,Ubuntu 22.04,UAT,Web Server,Chennai,Linux Team,2026-07-25,1460,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1460,32,60,49,486,1460,3,2,15,11,Critical,2026-07-25,1460,Firewall Disabled,P2,Resolved,Linux Team,6,2025-08-29,31,59,0,0,3,0,74
1461,AUTH212,Windows Server 2022,Development,Authentication Server,Chennai,Security Team,2026-07-25,1461,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1461,46,43,28,442,1461,0,2,7,8,Low,2026-07-25,1461,Splunk Agent Down,P4,Closed,Security Team,26,2026-03-21,17,28,0,0,1,1,38
1462,DB199,RHEL 9,UAT,Database Server,Bangalore,Database Team,2026-07-25,1462,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1462,62,75,85,327,1462,2,10,8,13,High,2026-07-25,1462,Patch Failure,P4,Resolved,Database Team,49,2026-02-02,33,67,0,0,1,1,77
1463,WEB211,Windows Server 2022,Development,Web Server,Mumbai,Linux Team,2026-07-25,1463,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1463,54,64,28,261,1463,0,1,12,20,Medium,2026-07-25,1463,Qualys Agent Missing,P4,Resolved,Linux Team,19,2025-11-25,33,47,0,0,1,0,52
1464,FILE209,Ubuntu 22.04,Development,File Server,Bangalore,Windows Team,2026-07-25,1464,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1464,14,35,77,34,1464,0,1,3,10,Low,2026-07-25,1464,Patch Failure,P3,Resolved,Windows Team,23,2026-06-26,14,19,0,0,2,0,29
1465,API212,Ubuntu 22.04,UAT,API Server,Bangalore,Infrastructure Team,2026-07-25,1465,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning,1465,79,72,37,179,1465,0,5,3,6,High,2026-07-25,1465,Patch Failure,P3,Resolved,Infrastructure Team,12,2026-05-20,14,27,1,0,2,0,47
1466,DB200,RHEL 9,Testing,Database Server,Mumbai,Database Team,2026-07-25,1466,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1466,64,93,92,722,1466,1,7,11,15,High,2026-07-25,1466,Disk Space Full,P2,Closed,Database Team,8,2026-05-02,34,62,0,3,3,0,92
1467,MAIL226,RHEL 8,Production,Mail Server,Pune,Messaging Team,2026-07-25,1467,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant,1467,34,49,31,628,1467,0,3,5,11,Low,2026-07-25,1467,Application Not Responding,P4,Resolved,Messaging Team,22,2026-06-14,19,30,1,1,1,0,50
1468,DB201,RHEL 9,UAT,Database Server,Bangalore,Database Team,2026-07-25,1468,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1468,61,83,77,88,1468,1,9,11,14,High,2026-07-25,1468,Patch Failure,P3,In Progress,Database Team,21,2025-09-10,35,67,0,1,2,0,82
1469,API213,RHEL 9,Production,API Server,Pune,Infrastructure Team,2026-07-25,1469,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1469,52,49,58,165,1469,2,2,4,14,Low,2026-07-25,1469,Disk Space Full,P4,Closed,Infrastructure Team,64,2025-09-23,22,36,0,0,1,1,46
1470,DB202,Windows Server 2019,UAT,Database Server,Bangalore,Database Team,2026-07-25,1470,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1470,63,80,82,666,1470,3,3,11,20,Critical,2026-07-25,1470,Application Not Responding,P3,Closed,Database Team,20,2025-12-29,37,63,0,1,2,0,78
1471,WEB212,RHEL 8,UAT,Web Server,Mumbai,Linux Team,2026-07-25,1471,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1471,58,61,36,648,1471,2,5,8,13,High,2026-07-25,1471,CrowdStrike Offline,P3,Resolved,Linux Team,20,2025-11-29,28,52,0,1,2,0,67
1472,WEB213,Ubuntu 22.04,Testing,Web Server,Chennai,Linux Team,2026-07-25,1472,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning,1472,33,52,48,583,1472,0,2,6,10,Low,2026-07-25,1472,Splunk Agent Down,P3,In Progress,Linux Team,8,2025-09-22,18,28,1,0,2,0,48
1473,AUTH213,Ubuntu 22.04,UAT,Authentication Server,Hyderabad,Security Team,2026-07-25,1473,Running,Running,Stopped,Enabled,Outdated,Compliant,65,Non-Compliant,1473,47,46,46,192,1473,0,2,4,8,Low,2026-07-25,1473,Memory Utilization High,P3,Resolved,Security Team,19,2026-05-20,14,22,2,0,2,0,52
1474,AUTH214,RHEL 9,Development,Authentication Server,Pune,Security Team,2026-07-25,1474,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1474,53,56,44,105,1474,1,4,5,7,Low,2026-07-25,1474,Firewall Disabled,P4,Closed,Security Team,69,2026-04-14,17,33,0,0,1,1,43
1475,APP198,Windows Server 2022,UAT,Application Server,Bangalore,Infrastructure Team,2026-07-25,1475,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1475,46,83,74,381,1475,2,1,3,7,Low,2026-07-25,1475,CrowdStrike Offline,P4,Resolved,Infrastructure Team,21,2026-07-03,13,24,0,1,1,0,34
1476,DB203,RHEL 9,Development,Database Server,Bangalore,Database Team,2026-07-25,1476,Running,Stopped,Running,Enabled,Updated,Compliant,80,Warning,1476,69,73,65,330,1476,5,2,6,19,Critical,2026-07-25,1476,Server Down,P4,Resolved,Database Team,30,2025-12-23,32,57,1,0,1,1,77
1477,MAIL227,Windows Server 2022,Development,Mail Server,Mumbai,Messaging Team,2026-07-25,1477,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1477,35,62,34,692,1477,0,2,7,6,Low,2026-07-25,1477,Qualys Agent Missing,P3,Closed,Messaging Team,23,2025-07-27,15,26,0,1,2,0,41
1478,MAIL228,RHEL 9,UAT,Mail Server,Chennai,Messaging Team,2026-07-25,1478,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1478,43,59,53,99,1478,0,1,7,12,Low,2026-07-25,1478,Server Down,P4,In Progress,Messaging Team,19,2026-04-23,20,29,0,0,1,0,34
1479,DB204,Windows Server 2022,UAT,Database Server,Mumbai,Database Team,2026-07-25,1479,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1479,85,87,70,207,1479,3,2,16,12,Critical,2026-07-25,1479,Server Down,P4,In Progress,Database Team,33,2025-10-03,33,62,0,2,1,1,82
1480,DB205,Windows Server 2022,Development,Database Server,Pune,Database Team,2026-07-25,1480,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1480,71,79,66,83,1480,2,6,13,26,High,2026-07-25,1480,Splunk Agent Down,P4,Closed,Database Team,51,2026-05-12,47,78,0,0,1,1,88
1481,MAIL229,RHEL 8,Development,Mail Server,Bangalore,Messaging Team,2026-07-25,1481,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1481,32,43,44,705,1481,2,2,8,5,Medium,2026-07-25,1481,Memory Utilization High,P3,Resolved,Messaging Team,20,2026-02-14,17,35,0,1,2,0,50
1482,APP199,Ubuntu 22.04,UAT,Application Server,Bangalore,Infrastructure Team,2026-07-25,1482,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1482,79,82,51,439,1482,1,3,8,10,Medium,2026-07-25,1482,Splunk Agent Down,P4,In Progress,Infrastructure Team,57,2026-02-10,22,39,0,1,1,1,54
1483,DB206,Windows Server 2019,Production,Database Server,Hyderabad,Database Team,2026-07-25,1483,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1483,84,75,67,22,1483,0,4,11,28,Medium,2026-07-25,1483,Memory Utilization High,P4,Resolved,Database Team,70,2026-05-18,43,62,0,1,1,1,77
1484,FILE210,Windows Server 2022,UAT,File Server,Hyderabad,Windows Team,2026-07-25,1484,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant,1484,33,32,89,12,1484,1,0,5,9,Low,2026-07-25,1484,Splunk Agent Down,P4,Resolved,Windows Team,60,2026-01-23,15,23,1,1,1,1,48
1485,WEB214,Windows Server 2019,Testing,Web Server,Chennai,Linux Team,2026-07-25,1485,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1485,30,56,34,237,1485,3,3,12,16,Critical,2026-07-25,1485,Memory Utilization High,P2,Closed,Linux Team,3,2025-10-11,34,61,0,0,3,0,76
1486,WEB215,RHEL 9,UAT,Web Server,Bangalore,Linux Team,2026-07-25,1486,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1486,36,42,46,49,1486,1,6,7,5,High,2026-07-25,1486,Memory Utilization High,P3,In Progress,Linux Team,19,2025-11-25,19,41,0,0,2,0,51
1487,DB207,Windows Server 2019,Production,Database Server,Hyderabad,Database Team,2026-07-25,1487,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1487,85,92,85,708,1487,5,7,10,17,Critical,2026-07-25,1487,Disk Space Full,P4,Resolved,Database Team,54,2025-09-11,39,78,0,3,1,1,103
1488,AUTH215,Windows Server 2019,Production,Authentication Server,Hyderabad,Security Team,2026-07-25,1488,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1488,46,53,37,200,1488,0,2,6,6,Low,2026-07-25,1488,Splunk Agent Down,P4,In Progress,Security Team,60,2025-09-01,14,24,0,0,1,1,34
1489,AUTH216,Windows Server 2019,Testing,Authentication Server,Mumbai,Security Team,2026-07-25,1489,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1489,50,48,30,317,1489,2,3,5,5,Low,2026-07-25,1489,Server Down,P4,In Progress,Security Team,37,2025-08-04,15,32,0,0,1,1,42
1490,API214,RHEL 8,Testing,API Server,Bangalore,Infrastructure Team,2026-07-25,1490,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning,1490,70,74,33,389,1490,2,4,5,5,Low,2026-07-25,1490,Qualys Agent Missing,P3,Resolved,Infrastructure Team,20,2026-06-28,16,35,1,0,2,0,55
1491,API215,Windows Server 2019,UAT,API Server,Bangalore,Infrastructure Team,2026-07-25,1491,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1491,70,43,54,399,1491,2,1,10,10,Medium,2026-07-25,1491,Splunk Agent Down,P4,Closed,Infrastructure Team,27,2025-08-04,23,41,0,0,1,1,51
1492,API216,Ubuntu 22.04,Production,API Server,Pune,Infrastructure Team,2026-07-25,1492,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1492,49,74,43,526,1492,2,2,5,9,Low,2026-07-25,1492,Splunk Agent Down,P4,Open,Infrastructure Team,56,2025-08-04,18,33,0,0,1,1,43
1493,FILE211,RHEL 9,Development,File Server,Bangalore,Windows Team,2026-07-25,1493,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1493,34,36,92,686,1493,0,2,6,8,Low,2026-07-25,1493,Application Not Responding,P2,Resolved,Windows Team,2,2026-06-25,16,26,0,2,3,0,51
